StandortID,Periode,Probenart,Probenahmedatum,CDT_PPM,CRT_PPM,CUT_PPM,Hg_AMA_PPM,HGT_PPM,NIT_PPM,PBT_PPM,ZNT_PPM,PHCA,ORG_SUB
832,3,UNTER40-60,2009-10-21,0.377,37,43.4,0.5252,0.29,41.2,53.1,112.8,6.84,3.777405
832,4,OBER-0-20,2014-11-27,0.905,NA,103,1.3915,0.85,35.2,166,253,6.57,9.423847
832,4,UNTER40-60,2014-11-27,0.292,NA,30.2,0.2414,0.16,NA,39.1,87.6,6.62,2.46054
832,5,OBER-0-20,2019-11-26,0.837,NA,98.2,1.2538,0.88,31.9,196,235,6.51,9.782475
832,5,UNTER40-60,2019-11-26,0.339,NA,36.5,0.3534,NA,37,59.4,98.6,6.82,2.9532
832,6,OBER-0-20,2024-12-12,0.8585,39.8302,109.8231,1.212421,0.8548,34.631,178,243.1264,6.65,9.87045
832,6,UNTER40-60,2024-12-12,0.2417,36.676,28.6389,0.145807,0.1326,44.9621,30.6526,77.0169,6.82,2.264925
833,1,OBER-0-20,1999-12-16,1.486,48.7,113.6,2.5707,1.0255,38.8,257,410.5,7.02,7.805
833,1,UNTER40-60,1999-12-16,0.2564,40.17702,36.19148,NA,0.16138,47.0898,89.27268,97.41888,7.01,2.83
833,2,OBER-0-20,2004-11-25,1.365,47.2,119.1,1.8059,1.0255,38.4,288,427.5,NA,9.882352
833,2,UNTER40-60,2004-11-25,0.518,41.5,55.3,NA,0.383272,44.5,86.3,167.9,NA,NA
833,3,OBER-0-20,2009-10-21,1.35,47.1,186,1.6364,1.03,36.8,245.9,400.6,6.97,10.353277
833,3,UNTER40-60,2009-10-21,0.38,37.8,42.7,NA,0.27,43.4,57.6,127.8,6.99,3.449482
833,4,OBER-0-20,2014-11-27,1.26,NA,126,1.6283,1,36,238,398.5,6.93,10.699657
833,4,UNTER40-60,2014-11-27,NA,NA,NA,0.3824,NA,NA,NA,NA,6.9,3.224715
833,5,OBER-0-20,2019-11-26,1.11,NA,116,1.3255,0.94,31.4,300,366,6.94,10.406752
833,5,UNTER40-60,2019-11-26,0.369,NA,39,0.4382,NA,38.4,59.9,113,6.93,3.2499
833,6,OBER-0-20,2024-12-03,1.2685,47.0569,179.6199,1.484221,1.046,40.1044,259.1419,404.4074,7.06,8.8182
833,6,UNTER40-60,2024-12-03,0.5841,36.3803,57.5058,0.708704,0.4295,43.7127,98.1475,164.1053,7.04,3.793275
834,1,OBER-0-20,1999-12-16,1.076,36.8,97.2,0.986815,0.6722,36.74156,209,347.6,6.915,8.17
834,1,UNTER40-60,1999-12-16,0.16559,32.20054,27.82287,NA,0.07876,39.39938,29.95228,78.06606,7.43,2.22
834,2,OBER-0-20,2004-12-09,0.994,34.3,93.8,1.2579,0.648232,34.3,168,339.7,NA,9.4599
834,2,UNTER40-60,2004-12-09,0.394,30,39.5,NA,0.2356,36.2,67.6,120.6,NA,NA
834,3,OBER-0-20,2009-10-21,0.923,32.9,87.1,0.9721,0.64,33.4,277.9,322.6,6.86,9.323625
834,3,UNTER40-60,2009-10-21,0.232,33.6,29.4,NA,0.12,40.6,35.8,90.3,7.22,2.27838
834,4,OBER-0-20,2014-11-27,0.9875,NA,95.55,0.9138,0.65,37.5,199.5,342,6.825,8.5352135
834,5,OBER-0-20,2019-11-20,0.822,NA,78.9,0.7854,0.67,29.8,157,280,6.82,8.444565
834,5,UNTER40-60,2019-11-20,0.249,NA,26.3,0.1464,NA,33.7,29.5,76.4,7.23,2.30805
834,6,OBER-0-20,2024-12-12,0.7885,27.3754,78.5636,0.851132,0.5711,28.9191,234.8128,267.2573,7,6.6654
834,6,UNTER40-60,2024-12-12,0.4379,30.4542,46.7992,0.361713,0.2824,37.6773,169.851,136.4605,7.2,3.3741
835,1,OBER-0-20,1999-12-16,1.00694,31.62499,83.78629,0.9161,0.7392,31.75559,142.22786,282.07751,7.06,4.86
835,1,UNTER40-60,1999-12-16,0.16578,27.36275,24.23279,0.10963,0.06732,36.17584,25.26163,65.33403,7.56,1.63
835,2,OBER-0-20,2004-12-09,0.942,30,84.4,0.8083,0.5859,30,138,278.9,NA,5.808592
835,2,UNTER40-60,2004-12-09,0.262,27.6,27.9,NA,0.132804,33.9,34.6,81.5,NA,NA
835,3,OBER-0-20,2009-10-21,0.898,30.2,89.9,0.887,0.7,29.2,127.4,287.8,6.985,6.437527
835,3,UNTER40-60,2009-10-21,0.209,27.3,25.1,NA,0.11,33.8,24.9,89.7,7.39,1.91268
835,4,OBER-0-20,2014-11-27,0.9195,NA,99.5,0.8284,0.69,29,158,298,6.805,7.3853285
835,5,OBER-0-20,2019-11-20,0.832,NA,105,0.8018,0.63,27.1,121,259,6.83,7.098892
835,5,UNTER40-60,2019-11-20,0.258,NA,27.1,0.2,NA,29.2,30.8,75.2,7.37,1.786582
835,6,OBER-0-20,2024-12-11,0.9188,30.6818,116.4594,0.741744,0.6789,36.1286,130.7771,289.0455,6.81,6.3825
835,6,UNTER40-60,2024-12-11,0.3388,25.2984,37.6772,0.252494,0.2343,32.3581,44.0746,99.7877,7.31,2.23215
836,1,OBER-0-20,1999-12-15,2.1503,94.77153,141.29055,1.53093,1.465,30.35457,170.25249,475.3,6.74,17.16
836,1,UNTER40-60,1999-12-15,1.4596,46.83817,76.052,NA,1.3994,33.34799,128.77041,293.34886,6.76,5.28
836,2,OBER-0-20,2004-11-18,1.975,83.8,133.3,1.6843,1.273,27.6,156,445.9,NA,27.384375
836,2,UNTER40-60,2004-11-18,1.833,81,98.8,NA,1.5365,32,133,371.6,NA,NA
836,3,OBER-0-20,2009-11-03,1.86,77,127,1.6855,1.38,26.9,146.5,435.5,6.73,19.50285
836,3,UNTER40-60,2009-11-03,1.59,51,84.1,NA,1.5,30.2,113.6,318,6.75,8.173912
