"StandortID";"periode";"Probenart";"HorizontNr";"para";"y";"y.orig";"mad.y";"mad.y.orig";"N.used";"p.dat";"m.LaborID";"m.a.jahr";"m.ProbenIDs"
828;3;"UNTER40-60";0;"NIT_PPM";38.905494;39;0;0;1;2009-10-22;"1028";"2009";"24723"
828;3;"OBER-0-20";0;"ORG_SUB";13.411752;13.273012;0.497504221199999;0.291808297199999;3;2009-10-22;"2538";"2011-2010";"24720-24721-24722"
828;3;"UNTER40-60";0;"ORG_SUB";4.549274;4.786185;0;0;1;2009-10-22;"2538";"2012";"24723"
828;3;"OBER-0-20";0;"PBT_PPM";132.156294;129;4.4047393656;4.29954000000001;3;2009-10-22;"1028";"2011-2009";"24720-24721-24722"
828;3;"UNTER40-60";0;"PBT_PPM";57.779961;56.4;0;0;1;2009-10-22;"1028";"2009";"24723"
828;3;"OBER-0-20";0;"PHCA";6.737642;6.69;0.0296519999999994;0.118608;3;2009-10-22;"2538-1028";"2011-2010";"24720-24721-24722"
828;3;"UNTER40-60";0;"PHCA";6.777642;6.86;0;0;1;2009-10-22;"1028";"2010";"24723"
828;3;"OBER-0-20";0;"ZNT_PPM";308.937954;306;0.299368074599956;0.296519999999983;3;2009-10-22;"1028";"2011-2009";"24720-24721-24722"
828;3;"UNTER40-60";0;"ZNT_PPM";147.906569;146.5;0;0;1;2009-10-22;"1028";"2009";"24723"
828;4;"OBER-0-20";0;"CDT_PPM";0.6801985;0.7094245;0.0219936297;0.0095249637;2;2014-12-26;"1028-332";"2014-2021";"33872-33874"
828;4;"OBER-0-20";0;"CRT_PPM";32.056183;31.385812;0;0;1;2014-12-26;"332";"2021";"33874"
828;4;"OBER-0-20";0;"CUT_PPM";114.6835265;111.3045545;3.8864409381;2.5136674983;2;2014-12-26;"1028-332";"2014-2021";"33872-33874"
828;4;"OBER-0-20";0;"Hg_AMA_PPM";0.275775;0.275775;0.017828265;0.017828265;2;2014-12-26;"2538";"2015-2020";"33872-33874"
828;4;"OBER-0-20";0;"HGT_PPM";0.212906;0.233492;0;0;1;2014-12-26;"332";"2021";"33874"
828;4;"OBER-0-20";0;"NIT_PPM";32.824819;32.2771725;1.3711366494;0.559195948500001;2;2014-12-26;"1028-332";"2014-2021";"33872-33874"
828;4;"OBER-0-20";0;"ORG_SUB";11.508134;11.610457;0.139428151799999;0.0122759280000001;2;2014-12-26;"2538";"2015-2020";"33872-33874"
